Designator,Mid X,Mid Y,Rotation,Layer
C1,145.12,-91.34,270.0,top
C10,136.17,-89.65,0.0,top
C11,136.66,-91.05,90.0,top
C12,135.68,-88.27,90.0,top
C13,136.12,-85.03,0.0,top
C14,138.89,-82.25,90.0,top
C15,135.28,-81.8,270.0,top
C16,137.54,-78.58,0.0,top
C17,137.06,-80.01,90.0,top
C18,137.54,-75.69,0.0,top
C19,153.48,-106.9,0.0,top
C2,146.35,-87.435,90.0,top
C20,146.1,-82.93,270.0,top
C21,145.15,-82.93,270.0,top
C22,147.05,-82.93,270.0,top
C23,148.0,-82.93,270.0,top
C24,155.710589,-98.339411,225.0,top
C25,153.225,-99.1,180.0,top
C26,152.175,-100.7,180.0,top
C27,173.94,-96.31,0.0,top
C28,164.55,-97.375,90.0,top
C29,166.1,-97.375,90.0,top
C3,140.96,-93.49,90.0,top
C30,163.1,-101.825,90.0,top
C31,167.6,-97.375,270.0,top
C32,152.6,-104.7,0.0,top
C33,173.715,-98.02,0.0,top
C34,134.54,-94.09,90.0,top
C35,134.28,-98.2,270.0,top
C36,134.33,-79.91,270.0,top
C37,133.650589,-85.069411,45.0,top
C38,167.65,-86.29,180.0,top
C4,138.97,-86.4,90.0,top
C5,138.0,-86.4,90.0,top
C6,137.94,-85.03,0.0,top
C7,139.58,-93.24,90.0,top
C8,138.66,-93.24,90.0,top
C9,136.21,-92.44,0.0,top
CN1,166.0,-102.2,270.0,top
D1,151.2125,-102.7,180.0,top
J1,137.055,-73.155,90.0,top
J2,158.02,-72.17,270.0,bottom
L1,146.6,-91.51,90.0,top
L2,138.485,-87.78,0.0,top
L3,137.265,-93.67,180.0,top
L4,138.055,-91.37,180.0,top
L5,135.73,-91.045,90.0,top
L6,135.68,-86.425,90.0,top
L7,137.06,-77.135,90.0,top
L8,170.285,-96.72,0.0,top
L9,160.989949,-98.489949,315.0,top
Q1,160.2,-76.75,90.0,top
Q2,164.15,-74.85,270.0,top
Q3,142.57,-84.8725,90.0,top
Q4,142.09,-79.17,180.0,top
R1,139.87,-82.84,90.0,top
R10,149.0,-101.81,270.0,top
R11,165.74,-83.31,270.0,top
R12,151.3,-112.26,270.0,top
R13,162.7,-112.21,90.0,top
R14,170.37,-102.66,270.0,top
R15,146.25,-80.08,0.0,top
R16,159.360624,-104.539376,225.0,top
R17,162.000624,-105.109376,45.0,top
R18,153.55,-102.54,90.0,top
R19,159.389376,-106.060624,45.0,top
R2,135.27,-83.64,270.0,top
R20,171.19,-94.9,0.0,top
R21,164.24,-77.3,0.0,top
R22,163.41,-78.3,180.0,top
R23,142.62,-82.42,0.0,top
R24,148.04,-81.0,90.0,top
R25,136.58,-98.07,90.0,top
R26,140.88,-97.48,90.0,top
R27,142.37,-98.29,90.0,top
R3,157.8,-106.84,90.0,top
R4,156.6,-106.84,90.0,top
R5,160.739376,-103.889376,135.0,top
R6,161.460624,-103.160624,315.0,top
R7,157.110624,-96.939376,45.0,top
R8,158.689376,-96.760624,225.0,top
R9,169.91,-101.25,0.0,top
SW1,169.62,-80.78,270.0,top
SW10,186.99,-119.315,180.0,bottom
SW2,148.72,-74.55,270.0,top
SW3,168.92,-109.36,180.0,top
SW4,124.97,-97.18,0.0,bottom
SW5,124.97,-80.2,0.0,bottom
SW6,167.91,-62.145,180.0,bottom
SW7,187.0,-62.145,180.0,bottom
SW8,187.0,-81.205,180.0,bottom
SW9,187.0,-100.255,180.0,bottom
U1,142.01,-89.84,180.0,top
U2,137.04,-82.77,90.0,top
U3,156.55,-87.6,0.0,top
U4,157.35,-101.75,45.0,top
U5,170.03,-99.33,180.0,top
U6,170.0,-90.54,0.0,top
U7,140.89,-109.917069,0.0,top
U8,135.51,-100.97,0.0,top
USB1,157.05,-111.4525,0.0,top
Y1,144.027478,-95.065738,195.0,top
Y3,138.61,-100.649999,90.0,top
